oare_id,n_sents,akk_bytes,is_long,is_ordered,has_overlap,coverage,mean_match_score,min_match_score
962fdfaf-4e96-4f2b-8f5b-09581f96f010,5,467,False,True,False,0.6909090909090909,64.67732023527367,45.356178443134965
e5dfcb1f-ba82-455a-86d4-cc0d7adc783c,4,287,False,True,False,0.9333333333333333,87.48033784072994,70.91792214193295
47aa6127-6890-48d1-b9e3-bfe77a19a114,5,593,True,True,False,0.9014084507042254,84.17521144494826,52.22631621777772
4780f8e1-2abb-4ce1-9f17-a6b21ba8819c,6,875,True,True,False,0.7717391304347826,69.37440113449551,47.68274820351507
e94abaed-8ae0-4887-acf5-bace80773593,2,1016,True,True,False,0.48484848484848486,61.03780576624461,35.271242544043375
57fc1376-57c4-4576-ba0d-6a2b59dceef9,3,198,False,True,False,0.7272727272727273,95.58416476135186,92.13255060334174
d420628f-bd74-4c1d-9ce3-2b38958f85dc,4,429,False,True,False,0.75,85.44167095982887,80.01253644567988
480d061f-f8a3-44b5-a2e4-fed1c3c18c66,12,1023,True,False,True,0.7739130434782608,69.46202503350132,32.08359539319212
d5326410-b54c-4d7a-97bd-21312c5efc91,2,179,False,True,False,0.9047619047619048,86.36583033444177,78.98038921265265
f5c54165-5feb-4714-889f-f830a58563ca,11,739,True,False,True,0.47435897435897434,51.94615002506001,25.503432313651093
e3aecf83-f197-4c23-ae53-56162c679468,22,410,False,False,True,0.8245614035087719,35.386621192927485,11.592712059567626
e1a039e5-391c-4182-960e-713d4bd77a69,11,1021,True,False,True,0.7431192660550459,63.70085577723146,37.404491258923684
c52f4b62-3406-4589-9b67-a6fe66751218,6,853,True,True,False,0.7582417582417582,61.54988711617455,38.578052028999124
faef050d-e7dc-4f89-ace5-6a3dbba9366a,4,349,False,True,False,0.8378378378378378,83.86554668728482,77.92636034789872
49bff2f5-6d98-43b2-9307-9cc601ca48b2,2,320,False,True,False,1.0,100.0,100.0
0a086ecd-dfc9-4828-89c8-ea0b55b23ce5,2,386,False,True,False,0.2909090909090909,92.46765187541199,88.52139092595846
373fad9f-adda-4e2b-ae8f-80518eb92139,2,264,False,True,False,0.6206896551724138,67.97226049406667,61.61975137805086
2d9c1f96-8385-446e-8cf3-e35038aaa947,5,580,True,True,False,0.847457627118644,84.17360177813859,72.43936955684289
addd986a-df5f-48c7-aacc-83977b69021b,5,681,True,True,False,0.6986301369863014,89.07872042747545,73.73241250875066
0abc65bd-3bac-4add-8026-8b65f1d50e5a,9,950,True,False,True,0.6170212765957447,68.39173011572555,48.455266875412335
9849cc60-cece-4a3c-b1d6-f4dabd720288,2,129,False,True,False,0.8125,96.83894511065236,93.67789022130472
bb4f7af5-3f2a-4999-ba47-0515dbc5ec4d,6,792,True,True,False,0.6774193548387096,62.50286996558992,35.442767502184225
f7930295-301c-440d-9be1-f888c54ae0fb,2,80,False,True,False,0.6,72.42301554472023,60.9455654622243
78e54481-2776-4ed0-aec7-b35c8feb1cfa,2,1024,True,True,False,0.8782608695652174,76.83998541157018,72.56356849825629
d0abfdbf-3666-4143-8552-74656140fe85,4,463,False,True,False,0.9354838709677419,87.48673211097395,59.53992099919818
bb4b1b13-ce3d-46aa-9e5f-25595dbf924e,2,234,False,True,False,1.0,98.08666555655473,96.17333111310947
56bd785f-8f1e-4c7d-aab8-7ab5a3f41101,2,207,False,True,False,0.9523809523809523,77.27977554797992,73.4602938797401
6d9f154e-4b9e-4951-bb03-4b223bfd1f55,2,201,False,True,False,0.42857142857142855,68.33096883055967,53.46098643635543
60ef4f11-37a2-418e-83d2-94b993c03f71,13,986,True,False,True,0.819047619047619,55.376683665760204,30.447293371871147
c3cbcb45-835e-4139-a6e2-ced1d7882bca,2,139,False,True,False,0.9285714285714286,89.0917129155641,85.49232139137472
